point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),L-Rel-0-points,L-Elevation,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X),R-Rel-0-points,R-Elevation
,67,轉換,2764808.61400000000 ,293091.58700000000 ,,, 轉換,2764559.63000000000 ,293577.45500000000 ,,
, 地籍,轉換,93654.93636363640 ,75879.51636363640 ,,, 轉換,93407.10909090910 ,76365.82000000000 ,,
淡046,97,GPS,2764023.16900000000 ,293686.27200000000 ,327.35,16.17622240729 , GPS,2763790.16900000000 ,294270.02500000000 ,955.88525359285 ,16.19723931171 
,67,轉換,2764227.03500000000 ,292855.72100000000 ,,, 轉換,2763994.02500000000 ,293439.48000000000 ,,
, 地籍,轉換,93072.84363636360 ,75645.02181818180 ,,, 轉換,92841.22181818180 ,76229.14181818180 ,,
淡047,97,GPS,2763665.54200000000 ,293404.17800000000 ,383.58,16.79021292347 , GPS,2763248.44200000000 ,294009.49000000000 ,1118.68205233290 ,16.92084291080 
,67,轉換,2763869.36600000000 ,292573.67100000000 ,,, 轉換,2763452.27500000000 ,293178.97900000000 ,,
, 地籍,轉換,92714.60727272730 ,75363.80727272730 ,,, 轉換,92298.94181818180 ,75969.88363636360 ,,
淡047A,97,支距,2763645.37700000000 ,293383.94950000000 ,153.25,16.64725985649 , GPS,2763242.27500000000 ,293913.54100000000 ,818.80118456529 ,8.46700000000 
,67,轉換,2763849.19700000000 ,292553.44700000000 ,,, 轉換,2763446.09700000000 ,293083.03900000000 ,,
, 地籍,轉換,92694.39818181820 ,75343.62909090910 ,,, 轉換,92292.55454545450 ,75873.97454545450 ,,
淡048,97,GPS,2763281.54600000000 ,292998.95700000000 ,299.03,17.71522979207 , GPS,2762808.07400000000 ,293567.66200000000 ,1039.03075122197 ,11.85145341307 
,67,轉換,2763485.20400000000 ,292168.57900000000 ,,, 轉換,2763011.82800000000 ,292737.22200000000 ,,
, 地籍,轉換,92329.72909090910 ,74959.55454545450 ,,, 轉換,91857.58545454540 ,75529.15454545450 ,,
淡049,97,GPS,2763006.99800000000 ,292625.68400000000 ,56.82,17.93046575878 , GPS,2762502.93400000000 ,293174.15800000000 ,801.73895181438 ,12.27580368873 
,67,轉換,2763210.33300000000 ,291795.53500000000 ,,, 轉換,2762706.57900000000 ,292343.80100000000 ,,
, 地籍,轉換,92054.36181818180 ,74586.99272727270 ,,, 轉換,91551.54727272730 ,75136.42363636360 ,,
淡050,97,GPS,2762753.94800000000 ,292227.60700000000 ,450.28,18.31925922679 , GPS,2762167.83500000000 ,292550.97100000000 ,1119.67728507433 ,13.15500729043 
