point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),Rel-0-points,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X)
淡054,97,GPS,"2,762,312.85","289,411.01",195.98, 支距,2761903.956,289667.212
,67,轉換,"2,762,516.61","288,580.64",, 轉換,2762107.756,288836.811
, 地籍,轉換,"91,352.63","71,374.40",, 轉換,90944.345,71631.447
淡055,97,GPS,"2,762,103.07","288,839.21",74.05, GPS,2761582.278,289221.281
,67,轉換,"2,762,306.79","288,008.89",, 轉換,2761786.09,288390.89
, 地籍,轉換,"91,141.57","70,803.13",, 轉換,90621.676,71186.289
淡056,97,GPS,"2,761,808.30","288,369.12",26.14, GPS,2761302.431,288728.986
,67,轉換,"2,762,012.00","287,538.87",, 轉換,2761506.196,287898.712
, 地籍,轉換,"90,845.75","70,333.77",, 轉換,90340.733,70694.689
淡057,97,GPS,"2,761,456.72","287,935.43",58.63, GPS,2761007.521,288203.375
,67,轉換,"2,761,660.43","287,105.23",, 轉換,2761211.222,287373.263
, 地籍,轉換,"90,493.21","69,900.91",, 轉換,90044.655,70169.809
淡058,97,GPS,"2,761,216.64","287,377.54",-40.68, GPS,2760565.779,287834.082
,67,轉換,"2,761,420.40","286,547.30",, 轉換,2760769.462,287004.047
, 地籍,轉換,"90,251.88","69,343.63",, 轉換,89602.115,69801.549
淡059,97,GPS,"2,761,055.79","287,275.58",66.31, GPS,2760702.33,287476.753
,67,轉換,"2,761,259.57","286,445.34",, 轉換,2760906.076,286646.585
, 地籍,轉換,"90,090.82","69,242.05",, 轉換,89737.847,69443.971
淡060,97,GPS,"2,760,957.99","287,012.82",52.07, GPS,2760496.809,287237.357
,67,轉換,"2,761,161.79","286,182.53",, 轉換,2760700.583,286407.148
, 地籍,轉換,"89,992.43","68,979.54",, 轉換,89531.802,69205.067
淡061,97,GPS,"2,760,940.83","286,458.20",79.65, GPS,2760181.44,286799.835
,67,轉換,"2,761,144.66","285,627.86",, 轉換,2760385.272,285969.523
, 地籍,轉換,"89,974.02","68,425.04",, 轉換,89215.469,68768.313
淡062,97,GPS,"2,760,398.46","286,157.75",339.77, GPS,2760002.878,286404.097
,67,轉換,"2,760,602.31","285,327.41",, 轉換,2760206.734,285573.746
, 地籍,轉換,"89,431.02","68,125.84",, 轉換,89036.025,68373.033
淡062A,97,支距,"2,759,802.80","285,616.34",0.14, 支距,2759355.755,285927.443
,67,轉換,"2,760,006.66","284,785.98",, 轉換,2759559.627,285097.08
, 地籍,轉換,"88,834.17","67,585.86",, 轉換,88387.86,67897.922
淡063,97,GPS,"2,759,718.19","285,542.58",389.15, GPS,2759233.622,285823.483
,67,轉換,"2,759,922.05","284,712.23",, 轉換,2759437.495,284993.121
, 地籍,轉換,"88,749.38","67,512.31",, 轉換,88265.5,67794.253
淡064,97,GPS,"2,759,187.79","285,126.86",233.24, GPS,2758646.58,285447.51
,67,轉換,"2,759,391.65","284,296.52",, 轉換,2758850.46,284617.152
, 地籍,轉換,"88,218.07","67,097.85",, 轉換,87677.649,67419.662
淡064A,97,GPS,"2,758,644.63","284,971.23",248.45, 支距,2758622.533,285442.657
,67,轉換,"2,758,848.50","284,140.88",, 轉換,2758826.413,284612.299
, 地籍,轉換,"87,674.61","66,943.46",, 轉換,87653.593,67414.864
淡065,97,GPS,"2,758,433.28","284,712.39",158.79, GPS,2758197.444,284954.121
,67,轉換,"2,758,637.15","283,882.04",, 轉換,2758401.323,284123.773
, 地籍,轉換,"87,462.69","66,685.14",, 轉換,87227.422,66927.369
淡066,97,GPS,"2,758,075.91","284,144.11",-54.18, 支距,2757648.138,284279.593
,67,轉換,"2,758,279.78","283,313.76",, 轉換,2757852.027,283449.252
, 地籍,轉換,"87,104.07","66,117.70",, 轉換,86676.587,66254.238
淡067,97,GPS,"2,758,268.59","283,526.06",-9.13, GPS,2757475.115,283896.483
,67,轉換,"2,758,472.44","282,695.71",, 轉換,2757679.006,283066.152
, 地籍,轉換,"87,295.34","65,499.26",, 轉換,86502.551,65871.822
淡068,97,GPS,"2,758,557.36","282,931.00",0, GPS,2757266.439,283567.318
,67,轉換,"2,758,761.20","282,100.66",, 轉換,2757470.338,282736.997
, 地籍,轉換,"87,582.73","64,903.63",, 轉換,86293.142,65543.182
淡069,97,GPS,"2,758,035.77","282,371.88",34.04, GPS,2756842.612,283017.906
,67,轉換,"2,758,239.64","281,541.57",, 轉換,2757046.532,282187.613
, 地籍,轉換,"87,059.89","64,345.78",, 轉換,85868.087,64994.822
淡070,97,GPS,"2,756,955.96","282,240.15",743.05, GPS,2756660.976,282465.333
,67,轉換,"2,757,159.88","281,409.87",, 轉換,2756864.91,281635.06
, 地籍,轉換,"85,979.63","64,216.91",, 轉換,85685.185,64442.738
淡071,97,GPS,"2,756,588.11","281,958.58",916.64, 支距,2756335.988,282246.514
,67,轉換,"2,756,792.05","281,128.33",, 轉換,2756539.937,281416.262
, 地籍,轉換,"85,611.16","63,936.22",, 轉換,85359.713,64224.698
淡072,97,GPS,"2,756,077.90","281,670.21","1,281.13", 轉換,2755893.108,281914.748
,67,轉換,"2,756,281.86","280,839.99",, 轉換,2756097.076,281084.526
, 地籍,轉換,"85,100.31","63,649.07",, 轉換,84916.093,63893.998
淡073,97,GPS,"2,755,850.44","280,885.60","1,218.26", 支距,2755439.245,281354.198
,67,轉換,"2,756,054.41","280,055.42",, 轉換,2755643.216,280524.01
, 地籍,轉換,"84,871.00","62,865.04",, 轉換,84460.947,63334.558
淡074,97,GPS,"2,755,508.41","280,386.96",916.27, 支距,2755120.893,280782.744
,67,轉換,"2,755,712.38","279,556.81",, 轉換,2755324.849,279952.577
, 地籍,轉換,"84,527.83","62,367.25",, 轉換,84141.267,62763.895
淡075,97,GPS,"2,755,022.87","279,882.02",560.04, GPS,2754688.208,280455.489
,67,轉換,"2,755,226.81","279,051.88",, 轉換,2754892.15,279625.381
, 地籍,轉換,"84,041.15","61,863.49",, 轉換,83707.822,62437.658
淡076,97,GPS,"2,754,452.34","279,565.91",238.51, GPS,2754268.384,279828.043
,67,轉換,"2,754,656.25","278,735.86",, 轉換,2754472.31,278997.994
, 地籍,轉換,"83,469.91","61,548.74",, 轉換,83286.565,61811.264
淡077,97,GPS,"2,754,283.83","279,038.38",-15.99, GPS,2753992.739,279449.625
,67,轉換,"2,754,487.72","278,208.36",, 轉換,2754196.659,278619.597
, 地籍,轉換,"83,300.18","61,021.68",, 轉換,83010.058,61433.536
淡078,97,GPS,"2,753,745.40","278,593.55",266.05, 支距,2753445.367,279071.158
